QUESTION	OPTION_A	OPTION_B	OPTION_C	OPTION_D	CORRECT_ANSWER	PREDICTED_ANSWER	SCORES
When one object passes through the shadow of another it is a? 	eclipse	reflection			eclipse	eclipse	[('eclipse', 0.42831617246491904), ('reflection', 0.046932646488446181)]
How does your body acquire the oxygen the cells in your body need to function? 	osmosis	diffusion	breathing	absorption	breathing	diffusion	[('diffusion', 0.70131455987322022), ('osmosis', 0.49182847542258895), ('absorption', 0.031141868512110732), ('breathing', 0.0051679404128387009)]
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	condensation	precipitation	evaporation	run-off	condensation	condensation	[('condensation', 1.017860421677093), ('evaporation', 0.87772678159223305), ('precipitation', 0.54545432495566948), ('run-off', 0.27344929331762924)]
The process in which something changes from a gas state to a liquid state 	convection	forecast	condensation		condensation	condensation	[('condensation', 1.0966200758719367), ('convection', 0.6129246063482231), ('forecast', 0.32241999335786753)]
Liquid water becomes a gas called water vapor through the process of <span class="blank"> </span> 	condensation	humidity	evaporation	transpiration	evaporation	evaporation	[('evaporation', 1.9323551018532217), ('humidity', 1.0858770742723216), ('condensation', 1.0406731468298072), ('transpiration', 0.59932490089617296)]
<span class="blank"> </span> refers to the movement of Earth around the sun. 	precipitation	revolution	rotation		revolution	revolution	[('revolution', 1.1190774566624775), ('rotation', 0.40816326530612235), ('precipitation', 0.045845877517822625)]
The process in which a snake loses its outer skin is called <span class="blank"> </span>. 	molting	shredding	loosening		molting	molting	[('molting', 0.94956406204032695), ('shredding', 0), ('loosening', 0)]
The continuous transfer of carbon between the atmosphere and organisms 	nitrogen cycle	carbon cycle			carbon cycle	carbon cycle	[('carbon cycle', 0.7959079549182756), ('nitrogen cycle', 0.0019440848862997625)]
What is the process of the movement of water and dissolved materials through the cell membrane? 	osmosis	diffusion			osmosis	osmosis	[('osmosis', 1.0097363828586605), ('diffusion', 0.4167185401009923)]
The continuous movement of nitrogen between air, soil, plants and animals. 	carbon cycle	nitrogen cycle			nitrogen cycle	nitrogen cycle	[('nitrogen cycle', 1.0019379726397788), ('carbon cycle', 1.0)]
What make oceans bigger? 	accumulation	deposition	rain		deposition	deposition	[('deposition', 0.29261789738945654), ('rain', 0.29103212624541502), ('accumulation', 0.15203207941852889)]
A giraffe's long neck is a(n) 	adaptation	camouflage	mimicry		adaptation	mimicry	[('mimicry', 1.0), ('camouflage', 0.87172304566689029), ('adaptation', 0.75264542232811638)]
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 	adaptation	physical change	camouflage		adaptation	adaptation	[('adaptation', 1.8823442158987929), ('camouflage', 0.32093812647182984), ('physical change', 0.11998243186295351)]
The process of making a new plant from the joining of a sperm and a egg cell is known as 	asexual reproduction	cross--pollination	sexual reproduction	self-pollination	sexual reproduction	sexual reproduction	[('sexual reproduction', 0.60052681321030021), ('asexual reproduction', 0.54411121474258395), ('self-pollination', 0.26743846500896912), ('cross--pollination', 0)]
Offspring come from a single parent during <span class="blank"> </span>. 	asexual reproduction	sexual reproduction			asexual reproduction	asexual reproduction	[('asexual reproduction', 1.5220958498154018), ('sexual reproduction', 1.4465051917902452)]
Which of the following is an unwanted change in the environment caused by harmful substances? 	overpopulation	pollution	evolution		pollution	pollution	[('pollution', 0.37295677808512023), ('overpopulation', 0.014310037461280423), ('evolution', 0.012421751504396332)]
Colors, patterns and shapes that disguise an animal from predators. 	camouflage	hibernate	migrate		camouflage	camouflage	[('camouflage', 1.1085961683011003), ('hibernate', 1.0107131146328669), ('migrate', 1.0101612291900177)]
If a snake copies another snake it is called 	camouflage	mimicry	play		mimicry	mimicry	[('mimicry', 0.18213333333333334), ('camouflage', 0.13623106117522907), ('play', 0)]
A(n) <span class="blank"> </span> is a modified feature that helps a plant survive in the environment. 	change	adaptation			adaptation	adaptation	[('adaptation', 1.081821584902902), ('change', 0.18318029618981335)]
Select whether the example is a chemical change or a physical change<br/><br/>Glass breaking 	chemical change	physical change			physical change	physical change	[('physical change', 0.035293639746230912), ('chemical change', 0.017023618613995508)]
Is burning a chemical change or physical change? 	chemical change	physical change			chemical change	chemical change	[('chemical change', 0.015547927885438902), ('physical change', 0.014754339885783613)]
spoiling food 	chemical change	physical change			chemical change	chemical change	[('chemical change', 0.30725202079924702), ('physical change', 0.11182235993604894)]
squeezing oranges to make orange juice 	chemical change	physical change			physical change	chemical change	[('chemical change', 0.40575095088117613), ('physical change', 0.031987201181300245)]
mixing lemonade powder into water 	chemical change	physical change			physical change	chemical change	[('chemical change', 0.6153228683136911), ('physical change', 0.25006957819184777)]
mowing the lawn 	chemical change	physical change			physical change	physical change	[('physical change', 0.22350376793097876), ('chemical change', 0)]
bleaching your hair 	chemical change	physical change			chemical change	physical change	[('physical change', 0.19883027085843771), ('chemical change', 0.12655290139310735)]
fireworks exploding 	chemical change	physical change			chemical change	physical change	[('physical change', 0.50067845107462572), ('chemical change', 0.4960109154990201)]
corroding metal 	chemical change	physical change			chemical change	physical change	[('physical change', 0.41041301466196911), ('chemical change', 0.28688100011218021)]
Burning a match is a 	chemica change	physical change			chemica change	physical change	[('physical change', 0.02531838516689628), ('chemica change', 0)]
A change in the way matter looks is called <span class="blank"> </span>? 	chemical change	physical change			physical change	physical change	[('physical change', 1.2030735605491427), ('chemical change', 1.1168440225899334)]
A reaction that forms water and a salt is called a 	chemical reaction	neutralization reaction			neutralization reaction	neutralization reaction	[('neutralization reaction', 1.0138888888888888), ('chemical reaction', 0.75400409029309179)]
