PROCESS	UNDERGOER	CAUSE	MANNER	RESULT	SOURCE	DEFINITIONS
Repair	cells	our body gives the cells time	sleep		Barrons	While we sleep our body gives the cells time to grow and repair
Repair	break	body growing new bone cells	healing	new bone cells	Barrons	This healing is done by the body growing new bone cells to repair the break.
Repair	body		take in proper foods and nutrients		Barrons	It is important to take in the proper foods and nutrients everyday so that your body can grow, have energy, and repair itself.
Repair	damaged cells		fill the gap	structural continuity	Wikipedia	The goal of the repair process is to fill the gap caused by the damaged cells to regain structural continuity.
Repair	cells		clear out damaged proteins and produce new functional molecules	new functional molecules	Web	During the repair process, a cell must clear out damaged proteins and produce new functional molecules.
Growth/Growing	cells	our body gives the cells time	sleep		Barrons	While we sleep our body gives the cells time to grow and repair
Growth/Growing	roots			secure plant and seek water	Barrons	Plants can also break down rocks by the action of their roots, which are constantly growing to secure the plant and seek water.
Growth/Growing	animal bones		life process	longer and bigger	Barrons	The life process where animal bones get longer and bigger is called growth.
Growth/Growing	living things		take in nutrients		Barrons	Living things need to take in nutrients so that they can grow and create energy.
Growth/Growing	plants	air, water, nutrients, and light		survive	Barrons	Plants need air, water, nutrients, and light to grow and survive.
Growth/Growing	plant		process	increase in size	Barrons	The process by which a plant increases in size is known as growth.
Growth/Growing	larva		crawls	ladybug	Barrons	The ladybug grows from a larva that crawls to a ladybug that can fly.
Growth/Growing	size	period of time	change	positive change in size	Wikipedia	Growth refers to a positive change in size, often over a period of time.
Growth/Growing	plants and animals		process	increase size	Barrons	Growth is a process by which plants and animals increase in size.
Growth/Growing	cell numbers	cell division and increase in cell size		increase in cell numbers	Web	growth involves an increase in cell numbers by cell division and anincrease in cell size
Decomposition	dead organisms	living things	break down and recycle	nutrients	Barrons	Decomposers are living things that break down dead organisms and recycle their nutrients into the soil.
Decomposition	organic substances	broken down	process	simpler form of matter	Wikipedia	Decomposition is the process by which organic substances are broken down into a much simpler form of matter
Decomposition	dead bodies or organic wastes	extracting chemicals	process	food for decomposers	Web	During the process of decomposition, the decomposers provide food for themselves by extracting chemicals from the dead bodies or organic wastes.
Decomposition	animal	death		bones	Web	When an animal dies and decomposes, usually only the bones remain, but even these will decompose over a much longer period of time.
Decomposition	raw organic materials		breakdown	finished compost	Web	the breakdown of raw organic materials to a finished compost
Germination	seed	growth	process	plant	Wikipedia	Germination is the process by which a plant grows from a seed
Germination	spores		emergence	cells	Wikipedia	Germination can also refer to the emergence of cells from resting spores
Germination	seed	provided with water			Web	germination starts when a seed is provided with water as long as the temperature is appropriate
Germination	embryonic plant			resumption of growth	Web	A seed contains an embryonic plant in a resting condition, and germination is its resumption of growth.
Breathing	animals		take in air		Barrons	Animals take in air by breathing.
Breathing	oxygen	inhalation		carbon dioxide	Barrons	Humans inhale (breathe in) oxygen and exhale (breathe out) carbon dioxide.
Breathing	air		process	in and out of lungs	Wikipedia	Breathing is the process that moves air in and out of the lungs
Breathing	air	muscle contraction and relaxation	process	air enters and leaves the lungs	Web	The process of respiration, during which air is inhaled into the lungs through the mouth or nose due to muscle contraction and then exhaled due to muscle relaxation.
Breathing	fish	water enters mouth		water leaves gills	Web	A fish breathes by taking water into its mouth and forcing it out through the gill passages - See more at: http://wonderopolis.org/wonder/how-do-fish-breathe-underwater/#sthash.BXIoiKun.dpuf
Reproducing	plants		production	flowers and fruits	Barrons	Plants reproduce by producing flowers and fruits that have seeds.
Reproducing	organism				Barrons	When an organism has an offspring (baby) it is called reproduction.
Reproducing	seed		growth	plant	Barrons	A seed growing into a plant is a form of reproduction.
Reproducing	plants	form from pollen and eggs		seeds	Barrons	Plants reproduce by forming seeds from the male (pollen) and female (eggs) cells found in the flower.
Reproducing	parents		process	offspring	Wikipedia	Reproduction (or procreation) is the biological process by which new individual organisms – "offspring" – are produced from their "parents"
Eliminating waste	animals	passing food through digestive system		waste removal	Barrons	All animals get rid of this solid waste after passing food through their digestive system.
Eliminating waste	waste	leaves body		feces	Barrons	The waste leaves the body in the form of feces.
Eliminating waste	animals	exhaling carbon dioxide through their mouth and nose		carbon dioxide	Barrons	Animals get rid of their gaseous waste by exhaling carbon dioxide through their mouth and nose.
Eliminating waste	plants	expel through roots		chemical waste	Barrons	Plants get rid of chemical waste through their roots.
Eliminating waste	plants	expet through leaves		oxygen	Barrons	Plants get rid of gaseous waste through their leaves in the form of oxygen.
Taking in nutrients	plants	roots extract from soil			Barrons	Nutrients from the soil enter the plant through its roots.
Taking in nutrients	animals	take in food			Barrons	Animals take in food to get nutrients.
Taking in nutrients	digested food	enters blood through intestine	absorption	nutrients in blood	Barrons	The digested food then moves into the intestine where the nutrients are absorbed into the blood.
Sweating	bodies	hot weather		water on skin	Barrons	In the hot weather our bodies sweat (perspiration), bringing water to our skin.
Sweating	body	release from sweat glands		liquid	Web	Sweating is the release of liquid from the body's sweat glands.
Sweating	skin	secreted by sweat glands	production	fluids	Wikipedia	Perspiration (sweating, transpiration, or diaphoresis) is the production of fluids secreted by the sweat glands in the skin ofmammals.
Sweating	humans	water-rich secretion of eccrine glands		thermoregulation	Wikipedia	In humans, sweating is primarily a means of thermoregulation which is achieved by the water-rich secretion of the eccrine glands
Sweating			evaporative cooling	decrease in core temperature	Wikipedia	Sweating causes a decrease in core temperature through evaporative cooling at the skin surface
Shivering	humans	cold		heat	Barrons	Humans shiver when it is cold and by doing so we create more heat in an attempt to warm our bodies.
Shivering	body		shaking	warmth	Barrons	Shivering is shaking in order to keep the body warm.
Shivering	warm-blooded animals	hypothermia or cold	bodily function		Wikipedia	Shivering (also called rigors or shuddering) is a bodily function in response to early hypothermia or just feeling cold[1] in warm-blooded animals
Shivering	muscles	contraction and expansion	tactic		Web	Shivering is one such tactic, in which your muscles contract and expand in speedy bursts.
Shivering	body		reflex	health and safety	Web	Shivers are reflexes (say: REE-fleks-iz), which are things your body does automatically to keep you safe and healthy.
Blinking	eyelid	rapid closing			Wikipedia	Blinking is a semi-autonomic rapid closing of the eyelid.
Blinking	eyelid		function	spread tears and remove irritants	Wikipedia	It is an essential function of the eye that helps spreadtears across and remove irritants from the surface of the cornea andconjunctiva.
