	QUESTION	ANSWER_CHOICE	MEAN_SCORE	MAX_SCORE	MEDIAN_SCORE	CORRECT_ANSWER
0	"To move in a circle around an object is to <span class=""blank""> </span>"	revolve	1.726010457	1.726010457	1.726010457	revolve
1	"To move in a circle around an object is to <span class=""blank""> </span>"	rotate	0.823345098499	0.823345098499	0.823345098499	revolve
2	"To move in a circle around an object is to <span class=""blank""> </span>"	eclipse	0.0	0.0	0.0	revolve
3	How does your body acquire the oxygen the cells in your body need to function? 	absorption	0.0	0.0	0.0	breathing
4	How does your body acquire the oxygen the cells in your body need to function? 	breathing	1.45834297945	1.45834297945	1.45834297945	breathing
5	How does your body acquire the oxygen the cells in your body need to function? 	osmosis	0.876464569696	0.876464569696	0.876464569696	breathing
6	The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 	terracing	0.192597302392	0.192597302392	0.192597302392	crop rotation
7	The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 	contour plowing	1.18682013469	1.18682013469	1.18682013469	crop rotation
8	The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 	crop rotation	2.87691285163	2.87691285163	2.87691285163	crop rotation
9	The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 	fertilization	0.678309818579	0.678309818579	0.678309818579	crop rotation
10	"The force that keeps us on Earth is <span class=""blank""> </span> "	magnetism	0.765625	0.765625	0.765625	gravity
11	"The force that keeps us on Earth is <span class=""blank""> </span> "	inertia	0.0	0.0	0.0	gravity
12	"The force that keeps us on Earth is <span class=""blank""> </span> "	gravity	1.29323606778	1.29323606778	1.29323606778	gravity
13	When plants use stored sugar for energy, they go through a process called 	perspiration	0.0	0.0	0.0	respiration
14	When plants use stored sugar for energy, they go through a process called 	photosynthesis	1.0	1.0	1.0	respiration
15	When plants use stored sugar for energy, they go through a process called 	respiration	2.03076857376	2.03076857376	2.03076857376	respiration
16	When plants use stored sugar for energy, they go through a process called 	transpiration	1.00000814598	1.00000814598	1.00000814598	respiration
17	corroding metal 	physical change	1.22035313227	1.22035313227	1.22035313227	chemical change
18	corroding metal 	chemical change	0.553686465605	0.553686465605	0.553686465605	chemical change
19	What is the name of the process by which most cells divide?	life cycle	0.0	0.0	0.0	mitosis
20	What is the name of the process by which most cells divide?	mitosis	2.0	2.0	2.0	mitosis
21	What is the name of the process by which most cells divide?	regeneration	0.0	0.0	0.0	mitosis
22	What starts the change from an igneous rock to a sedimentary rock? 	melting	2.0	2.0	2.0	weathering
23	What starts the change from an igneous rock to a sedimentary rock? 	weathering	1.83686949726	1.83686949726	1.83686949726	weathering
24	A giraffe's long neck is a(n) 	mimicry	1.0	1.0	1.0	adaptation
25	A giraffe's long neck is a(n) 	adaptation	1.0	1.0	1.0	adaptation
26	A giraffe's long neck is a(n) 	camouflage	1.0	1.0	1.0	adaptation
27	The continuous movement of nitrogen between air, soil, plants and animals.	carbon cycle	0.547817141094	0.547817141094	0.547817141094	nitrogen cycle
28	The continuous movement of nitrogen between air, soil, plants and animals.	nitrogen cycle	2.0	2.0	2.0	nitrogen cycle
29	fireworks exploding 	physical change	2.37469387755	2.37469387755	2.37469387755	chemical change
30	fireworks exploding 	chemical change	2.0	2.0	2.0	chemical change
31	Rocks change over time from one type to another.	the rock cycle	2.0	2.0	2.0	the rock cycle
32	Rocks change over time from one type to another.	erosion	1.22222222222	1.22222222222	1.22222222222	the rock cycle
33	Rocks change over time from one type to another.	melting	1.01920438957	1.01920438957	1.01920438957	the rock cycle
34	"<span class=""blank""> </span> is a process in the water cycle, where water vapor rises into the atmosphere."	transpiration	1.82161517343	1.82161517343	1.82161517343	evaporation
35	"<span class=""blank""> </span> is a process in the water cycle, where water vapor rises into the atmosphere."	condensation	0.469800006595	0.469800006595	0.469800006595	evaporation
36	"<span class=""blank""> </span> is a process in the water cycle, where water vapor rises into the atmosphere."	precipitation	0.0	0.0	0.0	evaporation
37	"<span class=""blank""> </span> is a process in the water cycle, where water vapor rises into the atmosphere."	evaporation	1.27561434586	1.27561434586	1.27561434586	evaporation
38	Andy is cooking a piece of ham in a pan. 	conduction	0.0	0.0	0.0	conduction
39	Andy is cooking a piece of ham in a pan. 	friction	0.0	0.0	0.0	conduction
40	mixing lemonade powder into water 	physical change	3.21484375	3.21484375	3.21484375	physical change
41	mixing lemonade powder into water 	chemical change	2.96625904129	2.96625904129	2.96625904129	physical change
42	When light strikes a surface and bounces off, what occurs?	refraction	2.0	2.0	2.0	reflection
43	What process produces sex cells?	mitosis	0.510980659482	0.510980659482	0.510980659482	meiosis
44	What process produces sex cells?	splitting	0.0	0.0	0.0	meiosis
45	What process produces sex cells?	meiosis	1.0	1.0	1.0	meiosis
46	"The process in which a snake loses its outer skin is called <span class=""blank""> </span>. "	shedding	0.54944785576	0.54944785576	0.54944785576	molting
47	"The process in which a snake loses its outer skin is called <span class=""blank""> </span>. "	loosening	0.0	0.0	0.0	molting
48	"The process in which a snake loses its outer skin is called <span class=""blank""> </span>. "	molting	1.59849782066	1.59849782066	1.59849782066	molting
49	squeezing oranges to make orange juice 	physical change	1.29323295417	1.29323295417	1.29323295417	physical change
50	squeezing oranges to make orange juice 	chemical change	1.30118697652	1.30118697652	1.30118697652	physical change
51	When you rub your hands together very quickly, it produces heat and is called 	gravity	0.0925914126984	0.0925914126984	0.0925914126984	friction
52	When you rub your hands together very quickly, it produces heat and is called 	friction	2.0	2.0	2.0	friction
53	Burning a match is a 	physical change	0.7981640625	0.7981640625	0.7981640625	chemical change
54	Burning a match is a 	chemical change	1.36	1.36	1.36	chemical change
55	bleaching your hair 	physical change	1.59530273117	1.59530273117	1.59530273117	chemical change
56	bleaching your hair 	chemical change	2.11127882419	2.11127882419	2.11127882419	chemical change
57	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	conduction	0.000572000129188	0.000572000129188	0.000572000129188	conduction
58	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	convection	0.0	0.0	0.0	conduction
59	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	combustion	1.07783251165	1.07783251165	1.07783251165	conduction
60	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	radiation	0.0	0.0	0.0	conduction
61	"Teeth help us to <span class=""blank""> </span>. "	swim	0.0	0.0	0.0	talk
62	"Teeth help us to <span class=""blank""> </span>. "	write	0.0	0.0	0.0	talk
63	"Teeth help us to <span class=""blank""> </span>. "	talk	1.0	1.0	1.0	talk
64	"There is one more way to deal with our growing garbage problem. Leaves and grass clippings can be <span class=""blank""> </span>or placed in a pile in the backyard. They will break down into soil and not have to be collected and take up space in our landfills. "	separated	0.0699184297241	0.0699184297241	0.0699184297241	composted
