	QUESTION	ANSWER_CHOICE	Q_UNDERGOER	A_UNDERGOER	UNDERGOER_SCORE	Q_ENABLER	A_ENABLER	ENABLER_SCORE	Q_TRIGGER	A_TRIGGER	TRIGGER_SCORE	Q_THEME	A_THEME	THEME_SCORE	Q_RESULT	A_RESULT	RESULT_SCORE	Q_SOURCE	A_SOURCE	SOURCE_SCORE	Q_TARGET	A_TARGET	TARGET_SCORE	Q_LOCATION	A_LOCATION	LOCATION_SCORE	Q_DIRECTION	A_DIRECTION	DIRECTION_SCORE	CORRECT_ANSWER
0	What is the name of the process by which most cells divide?	life cycle					reproduction		divide							succeeding each other														mitosis
1	What is the name of the process by which most cells divide?	mitosis	cells	cell	1.0				divide	division	1.0					genetically identical daughter cells														mitosis
2	What is the name of the process by which most cells divide?	regeneration																												mitosis
3	What process produces sex cells?	mitosis		cell											sex cells	genetically identical daughter cells	0.510980659482													meiosis
4	What process produces sex cells?	splitting		something																										meiosis
5	What process produces sex cells?	meiosis		germ cell											sex cells	sex cells	1.0													meiosis
6	When light strikes a surface and bounces off, what occurs?	refraction	light	light	1.0				strikes a surface and bounces off	bounce	1.0					bends at an angle									object					reflection
7	When you rub your hands together very quickly, it produces heat and is called 	gravity	hands	physical things	0.0925914126984																							towards each other		friction
8	When you rub your hands together very quickly, it produces heat and is called 	friction					moving over another								heat															friction
9	When you rub your hands together very quickly, it produces heat and is called 	friction	hands						rub	rub	1.0				heat	heat	1.0													friction
10	Which of the following must all plant and animal species do in order for each species to survive?	migrate	all plant and animal species	animal	1.0					move					each species to survive				one region or habitat			another								reproduce
11	Which of the following must all plant and animal species do in order for each species to survive?	reproduce	all plant and animal species	animal	1.0		some process of generation or propagation, sexual or asexual			reproduction					each species to survive	survival of a species	0.764357539578													reproduce
12	Which of the following must all plant and animal species do in order for each species to survive?	make food	all plant and animal species	plants	1.0		chlorophyll			make																				reproduce
13	"To move in a circle around an object is to <span class=""blank""> </span>"	revolve		object					move	move	1.0													around an object	around another object	0.726010456997				revolve
